Antioxidant Response Element	D061745		mesh	Cellular_component
Antioxidant Response Elements	D061745		mesh	Cellular_component
ARE	D061745		mesh	Cellular_component
AREs	D061745		mesh	Cellular_component
cell cell contact zone	GO:0044291		go	Cellular_component
CellCellCon	GO:0044291		go	Cellular_component
Exosome	GO:0070062		go	Cellular_component
Exosomes	GO:0070062		go	Cellular_component
Extracellular Exosome	GO:0070062		go	Cellular_component
Extracellular Exosomes	GO:0070062		go	Cellular_component
Mitochondria	GO:0005739		go	Cellular_component
12D	23644584		pubchem	Simple_chemical
2-chloroethyl ethyl sulfide	12733		pubchem	Simple_chemical
4-hydroxyequilenin-o-quinone	10170767		pubchem	Simple_chemical
Alpelisib	56649450		pubchem	Simple_chemical
AEW541	11476171		pubchem	Simple_chemical
AEW-541	11476171		pubchem	Simple_chemical
ATP	5957		pubchem	Simple_chemical
ATRA	44795		pubchem	Simple_chemical
AZD8330	16666708		pubchem	Simple_chemical
AZD-8330	16666708		pubchem	Simple_chemical
Binimetinib	10288191		pubchem	Simple_chemical
BKM120	16654980		pubchem	Simple_chemical
BKM-120	16654980		pubchem	Simple_chemical
BYL719	56649450		pubchem	Simple_chemical
BYL-719	56649450		pubchem	Simple_chemical
Buparlisib	16654980		pubchem	Simple_chemical
Ca	271		pubchem	Simple_chemical
cyclododecane	18529		pubchem	Simple_chemical
farnesylthiosalicylic	5469318		pubchem	Simple_chemical
E1	5870		pubchem	Simple_chemical
E2	5757		pubchem	Simple_chemical
E3	5756		pubchem	Simple_chemical
EHT 1864	9938202		pubchem	Simple_chemical
EHT-1864	9938202		pubchem	Simple_chemical
EHT1864	9938202		pubchem	Simple_chemical
estradiol	5757		pubchem	Simple_chemical
estrone	5870		pubchem	Simple_chemical
Ethyl Methanesulfonate	6113		pubchem	Simple_chemical
glucose	HMDB06564		hmdb	Simple_chemical
GDP	8977		pubchem	Simple_chemical
GSH	124886		pubchem	Simple_chemical
GTP	6830		pubchem	Simple_chemical
hexabromocyclododecane	18529		pubchem	Simple_chemical
HNHA	16126782		pubchem	Simple_chemical
hydrogen peroxide	HMDB01377		hmdb	Simple_chemical
Lactate	HMDB00190		hmdb	Simple_chemical
LPA	16219586		pubchem	Simple_chemical
manumycin	6438330		pubchem	Simple_chemical
manumycin A	6438330		pubchem	Simple_chemical
Matrine	91466		pubchem	Simple_chemical
MEK-162	10288191		pubchem	Simple_chemical
Mubritinib	644692		pubchem	Simple_chemical
NADPH	22833512		pubchem	Simple_chemical
Neocarzinostatin	5282473		pubchem	Simple_chemical
Nutlin	216345		pubchem	Simple_chemical
oxygen	HMDB01377		hmdb	Simple_chemical
phenylhydroquinone	14116		pubchem	Simple_chemical
PIP3	HMDB10147		hmdb	Simple_chemical
pirinixic acid	5694		pubchem	Simple_chemical
P6	5494425		pubchem	Simple_chemical
RO-31-7549	2403		pubchem	Simple_chemical
ROS	CHEBI:26523		chebi	Simple_chemical
ROSh2o2	784		pubchem	Simple_chemical
ROSox	977		pubchem	Simple_chemical
ROSsox	5359597		pubchem	Simple_chemical
Salirasib	5469318		pubchem	Simple_chemical
Sorafenib	216239		pubchem	Simple_chemical
Stattic	2779853		pubchem	Simple_chemical
superoxide	HMDB02168		hmdb	Simple_chemical
Zinostatin	5282473		pubchem	Simple_chemical
AcidicME	GO:0045851		go	BioProcess
DNAdsb	GO:1990166		go	BioProcess
DRsyn	GO:0090592		go	BioProcess
FocAd	GO:0051894		go	BioProcess
Focal adhesions	GO:0051894		go	BioProcess
GrowthPS	GO:0016049		go	BioProcess
Injury	GO:0090303		go	BioProcess
OXPHOS	GO:0006119		go	BioProcess
PPP	GO:0006098		go	BioProcess
Senescence	D000375		mesh	BioProcess
TAK-165	644692		pubchem	Simple_chemical
TAK-733	24963252		pubchem	Simple_chemical
TCA/Krebs	GO:0006099		go	BioProcess
ADAM17	P78536		uniprot	Gene_or_gene_product
AKT1	P31749		uniprot	Gene_or_gene_product
AMPKa1	Q13131		uniprot	Gene_or_gene_product
AMPK-a1	Q13131		uniprot	Gene_or_gene_product
AMPK-alpha1	Q13131		uniprot	Gene_or_gene_product
AMPK alpha-1	Q13131		uniprot	Gene_or_gene_product
AMPKa2	P54646		uniprot	Gene_or_gene_product
AMPK-a2	P54646		uniprot	Gene_or_gene_product
AMPK-alpha2	P54646		uniprot	Gene_or_gene_product
AMPK alpha-2	P54646		uniprot	Gene_or_gene_product
AMPKb1	Q9Y478		uniprot	Gene_or_gene_product
AMPK-b1	Q9Y478		uniprot	Gene_or_gene_product
AMPK-beta1	Q9Y478		uniprot	Gene_or_gene_product
AMPK beta-1	Q9Y478		uniprot	Gene_or_gene_product
AMPKb2	O43741		uniprot	Gene_or_gene_product
AMPK-b2	O43741		uniprot	Gene_or_gene_product
AMPK-beta2	O43741		uniprot	Gene_or_gene_product
AMPK beta-2	O43741		uniprot	Gene_or_gene_product
AMPKg1	P54619		uniprot	Gene_or_gene_product
AMPK-g1	P54619		uniprot	Gene_or_gene_product
AMPK-gamma1	P54619		uniprot	Gene_or_gene_product
AMPK gamma-1	P54619		uniprot	Gene_or_gene_product
AMPKg2	Q9UGJ0		uniprot	Gene_or_gene_product
AMPK-g2	Q9UGJ0		uniprot	Gene_or_gene_product
AMPK-gamma2	Q9UGJ0		uniprot	Gene_or_gene_product
AMPK gamma-2	Q9UGJ0		uniprot	Gene_or_gene_product
AMPKg3	Q9UGI9		uniprot	Gene_or_gene_product
AMPK-g3	Q9UGI9		uniprot	Gene_or_gene_product
AMPK-gamma3	Q9UGI9		uniprot	Gene_or_gene_product
AMPK gamma-3	Q9UGI9		uniprot	Gene_or_gene_product
ASK	Q99683		uniprot	Gene_or_gene_product
ATG4A	Q8WYN0		uniprot	Gene_or_gene_product
Cysteine protease	Q8WYN0		uniprot	Gene_or_gene_product
ATM	Q13315		uniprot	Gene_or_gene_product
BRAF	P15056		uniprot	Gene_or_gene_product
Bach1	O14867		uniprot	Gene_or_gene_product
BclXL	Q07817		uniprot	Gene_or_gene_product
Bcl2	P10415		uniprot	Gene_or_gene_product
Bcl-2	P10415		uniprot	Gene_or_gene_product
CCL2	P13500		uniprot	Gene_or_gene_product
CCR2	P41597		uniprot	Gene_or_gene_product
CD122	P14784		uniprot	Gene_or_gene_product
CD132	P31785		uniprot	Gene_or_gene_product
CD25	P01589		uniprot	Gene_or_gene_product
CD28	P10747		uniprot	Gene_or_gene_product
CDN2A	P42771		uniprot	Gene_or_gene_product
CSF1	P09603		uniprot	Gene_or_gene_product
CSF1R	P07333		uniprot	Gene_or_gene_product
Cas8	Q14790		uniprot	Gene_or_gene_product
Chk2	O96017		uniprot	Gene_or_gene_product
DUSP13	Q9UII6		uniprot	Gene_or_gene_product
Dual specificity phosphatase 13	Q9UII6		uniprot	Gene_or_gene_product
Dual specificity protein phosphatase 13	Q9UII6		uniprot	Gene_or_gene_product
DUSP13B	Q9UII6		uniprot	Gene_or_gene_product
Dual specificity phosphatase 13 isoform B	Q9UII6		uniprot	Gene_or_gene_product
Dual specificity protein phosphatase 13 isoform B	Q9UII6		uniprot	Gene_or_gene_product
ERK1	P27361		uniprot	Gene_or_gene_product
ExoCx	Q9NV70		uniprot	Gene_or_gene_product
Exocyst complex	Q9NV70		uniprot	Gene_or_gene_product
